assignee,id,phase,task,milestone,start,end,completion,dependencies,hyperlink
,766,OREIS_EPE,? ,,29/12/2025,04/05/2026,62,,
,767,OREIS_EPE,? ,,29/12/2025,04/05/2026,2,,
,768,OREIS_EPE,? ,,18/08/2025,15/06/2026,51,,
,769,OREIS_Source Froide,? ,,25/05/2026,24/08/2026,9,,
,770,OREIS_Source Froide,? ,,25/05/2026,24/08/2026,59,,
,771,OREIS_Source Froide,? ,,25/05/2026,24/08/2026,47,,
,772,OREIS_Source Froide,? ,,02/11/2026,19/04/2027,49,,
,773,OREIS_Source Froide,? ,,02/11/2026,19/04/2027,47,,
,774,OREIS_Source Froide,? ,,02/11/2026,19/04/2027,72,,
,775,OREIS_EVE,? ,,19/10/2026,04/01/2027,25,,
,776,OREIS_EVE,? ,,16/11/2026,04/01/2027,8,,
,777,OREIS_EVE,? ,,19/10/2026,04/01/2027,97,,
,778,OREIS_EPE,? ,,23/11/2026,19/04/2027,5,,
,779,OREIS_EPE,? ,,23/11/2026,19/04/2027,67,,
,780,OREIS_EPE,? ,,18/01/2027,19/04/2027,78,,
,781,OREIS_EPE,? ,,23/11/2026,19/04/2027,36,,
,782,OREIS_Source Froide,? ,,03/05/2027,02/08/2027,1,,
,783,OREIS_Source Froide,? ,,03/05/2027,02/08/2027,18,,
,784,OREIS_Source Froide,? ,,03/05/2027,02/08/2027,8,,
,785,OREIS_EVE,? ,,19/04/2027,05/07/2027,81,,
,786,OREIS_EVE,? ,,17/05/2027,05/07/2027,15,,
,787,OREIS_EVE,? ,,19/04/2027,05/07/2027,54,,
,788,OREIS_Source Froide,? ,,05/07/2027,20/12/2027,60,,
,789,OREIS_Source Froide,? ,,05/07/2027,20/12/2027,2,,
,790,OREIS_Source Froide,? ,,05/07/2027,20/12/2027,67,,
,791,OREIS_EVE,? ,,21/06/2027,06/09/2027,70,,
,792,OREIS_EVE,? ,,19/07/2027,06/09/2027,93,,
,793,OREIS_EVE,? ,,21/06/2027,06/09/2027,66,,
,794,OREIS_GTA,? ,,24/05/2027,25/10/2027,74,,
,795,OREIS_GTA,? ,,26/07/2027,25/10/2027,56,,
,796,OREIS_GTA,? ,,26/07/2027,25/10/2027,89,,
,797,OREIS_GTA,? ,,24/05/2027,25/10/2027,25,,
,798,OREIS_GTA,? ,,10/07/2028,11/12/2028,48,,
,799,OREIS_GTA,? ,,11/09/2028,11/12/2028,18,,
,800,OREIS_GTA,? ,,11/09/2028,11/12/2028,35,,
,801,OREIS_GTA,? ,,10/07/2028,11/12/2028,52,,
,802,OREIS_Source Froide,? ,,21/02/2028,22/05/2028,1,,
,803,OREIS_Source Froide,? ,,21/02/2028,22/05/2028,79,,
,804,OREIS_Source Froide,? ,,21/02/2028,22/05/2028,8,,
,805,OREIS_EVE,? ,,07/02/2028,24/04/2028,92,,
,806,OREIS_EVE,? ,,06/03/2028,24/04/2028,18,,
,807,OREIS_EVE,? ,,07/02/2028,24/04/2028,14,,
,808,OREIS_Source Froide,? ,,08/05/2028,07/08/2028,52,,
,809,OREIS_Source Froide,? ,,08/05/2028,07/08/2028,59,,
,810,OREIS_Source Froide,? ,,08/05/2028,07/08/2028,40,,
,811,OREIS_EVE,? ,,03/04/2028,19/06/2028,18,,
,812,OREIS_EVE,? ,,01/05/2028,19/06/2028,63,,
,813,OREIS_EVE,? ,,03/04/2028,19/06/2028,23,,
,814,OREIS_Source Froide,? ,,05/02/2029,07/05/2029,58,,
,815,OREIS_Source Froide,? ,,05/02/2029,07/05/2029,93,,
,816,OREIS_Source Froide,? ,,05/02/2029,07/05/2029,47,,
,817,OREIS_Source Froide,? ,,11/12/2028,12/03/2029,66,,
,818,OREIS_Source Froide,? ,,11/12/2028,12/03/2029,26,,
,819,OREIS_Source Froide,? ,,11/12/2028,12/03/2029,85,,
,820,OREIS_EVE,? ,,02/04/2029,18/06/2029,99,,
,821,OREIS_EVE,? ,,30/04/2029,18/06/2029,37,,
,822,OREIS_EVE,? ,,02/04/2029,18/06/2029,1,,
,823,OREIS_EPE,? ,,28/08/2028,04/06/2029,59,,
,824,OREIS_EPE,? ,,22/01/2029,04/06/2029,1,,
,825,OREIS_EPE,? ,,22/01/2029,04/06/2029,42,,
,826,OREIS_EPE,? ,,22/01/2029,04/06/2029,26,,
,827,OREIS_EPE,? ,,28/08/2028,04/06/2029,4,,
,828,OREIS_EVE,? ,,01/01/2029,12/03/2029,4,,
,829,OREIS_EVE,? ,,22/01/2029,12/03/2029,49,,
,830,OREIS_EVE,? ,,01/01/2029,12/03/2029,8,,
,831,OREIS_Source Froide,? ,,25/06/2029,10/12/2029,17,,
,832,OREIS_Source Froide,? ,,25/06/2029,10/12/2029,3,,
,833,OREIS_Source Froide,? ,,25/06/2029,10/12/2029,36,,
,834,OREIS_EVE,? ,,11/06/2029,27/08/2029,70,,
,835,OREIS_EVE,? ,,09/07/2029,27/08/2029,82,,
,836,OREIS_EVE,? ,,11/06/2029,27/08/2029,6,,
,837,OREIS_EVE,? ,,16/07/2029,01/10/2029,42,,
,838,OREIS_EVE,? ,,13/08/2029,01/10/2029,100,,
,839,OREIS_EVE,? ,,16/07/2029,01/10/2029,43,,
,840,OREIS_EVE,? ,,31/12/2029,18/03/2030,32,,
,841,OREIS_EVE,? ,,28/01/2030,18/03/2030,61,,
,842,OREIS_EVE,? ,,31/12/2029,18/03/2030,10,,
,843,OREIS_EPE,? ,,10/09/2029,17/06/2030,55,,
,844,OREIS_EPE,? ,,04/02/2030,17/06/2030,59,,
,845,OREIS_EPE,? ,,04/02/2030,17/06/2030,76,,
,846,OREIS_EPE,? ,,04/02/2030,17/06/2030,56,,
,847,OREIS_EPE,? ,,10/09/2029,17/06/2030,7,,
,848,OREIS_EVE,? ,,11/03/2030,27/05/2030,73,,
,849,OREIS_EVE,? ,,08/04/2030,27/05/2030,48,,
,850,OREIS_EVE,? ,,11/03/2030,27/05/2030,68,,
,851,OREIS_Source Froide,? ,,11/03/2030,10/06/2030,44,,
,852,OREIS_Source Froide,? ,,11/03/2030,10/06/2030,46,,
,853,OREIS_Source Froide,? ,,11/03/2030,10/06/2030,1,,
,854,OREIS_EVE,ARNAUD,,02/09/2030,29/12/2030,74,,
